player,season,total_games,valid_sequences,nan_targets,nan_features,update_date
Andre Pallante,2025,21,16,0,0,20250802
Bailey Falter,2025,22,17,0,0,20250802
Brandon Pfaadt,2025,22,17,0,0,20250802
Brayan Bello,2025,19,14,0,0,20250802
Bryan Woo,2025,21,16,0,0,20250802
Carlos Rodon,2025,23,18,0,0,20250802
Chris Bassitt,2025,23,18,0,0,20250802
Chris Paddack,2025,22,17,0,0,20250802
Clay Holmes,2025,22,17,0,0,20250802
Cristopher Sanchez,2025,21,16,0,0,20250802
David Peterson,2025,21,16,0,0,20250802
Dean Kremer,2025,22,17,0,0,20250802
Dylan Cease,2025,22,17,0,0,20250802
Framber Valdez,2025,21,16,0,0,20250802
Freddy Peralta,2025,23,18,0,0,20250802
Garrett Crochet,2025,22,17,0,0,20250802
Gavin Williams,2025,22,17,0,0,20250802
Grant Holmes,2025,22,17,0,0,20250802
Hunter Brown,2025,22,17,0,0,20250802
JP Sears,2025,22,17,0,0,20250802
Jacob deGrom,2025,21,16,0,0,20250802
Jake Irvin,2025,23,18,0,0,20250802
Jeffrey Springs,2025,23,18,0,0,20250802
Jesus Luzardo,2025,22,17,0,0,20250802
Joe Ryan,2025,22,17,0,0,20250802
Jose Berrios,2025,23,18,0,0,20250802
Jose Soriano,2025,23,18,0,0,20250802
Kevin Gausman,2025,22,17,0,0,20250802
Kris Bubic,2025,20,15,0,0,20250802
Logan Allen,2025,21,16,0,0,20250802
Logan Webb,2025,23,18,0,0,20250802
Luis Castillo,2025,23,18,0,0,20250802
Luis Severino,2025,23,18,0,0,20250802
MacKenzie Gore,2025,22,17,0,0,20250802
Matthew Boyd,2025,22,17,0,0,20250802
Max Fried,2025,22,17,0,0,20250802
Merrill Kelly,2025,23,18,0,0,20250802
Michael Wacha,2025,22,17,0,0,20250802
Mitch Keller,2025,22,17,0,0,20250802
Mitchell Parker,2025,22,17,0,0,20250802
Nick Lodolo,2025,22,17,0,0,20250802
Nick Martinez,2025,24,19,0,0,20250802
Nick Pivetta,2025,22,17,0,0,20250802
Paul Skenes,2025,23,18,0,0,20250802
Robbie Ray,2025,23,18,0,0,20250802
Ryan Pepiot,2025,23,18,0,0,20250802
Sandy Alcantara,2025,21,16,0,0,20250802
Seth Lugo,2025,20,15,0,0,20250802
Shane Baz,2025,22,17,0,0,20250802
Sonny Gray,2025,22,17,0,0,20250802
Spencer Schwellenbach,2025,17,12,0,0,20250802
Taj Bradley,2025,21,16,0,0,20250802
Tanner Bibee,2025,22,17,0,0,20250802
Tarik Skubal,2025,22,17,0,0,20250802
Tomoyuki Sugano,2025,21,16,0,0,20250802
Tyler Anderson,2025,22,17,0,0,20250802
Will Warren,2025,23,18,0,0,20250802
Yoshinobu Yamamoto,2025,21,16,0,0,20250802
Yusei Kikuchi,2025,23,18,0,0,20250802
Zac Gallen,2025,22,17,0,0,20250802
Zack Littell,2025,22,17,0,0,20250802
Zack Wheeler,2025,22,17,0,0,20250802
